,Timestamps,Temperature,Humidity,Pressure,Distance,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magnox,Magnoy,Magnoz
0,2022-01-11 01:26:14.949275,25.7,59.0,997.0,194.0,1.45,-0.82,3.79,4.06,-2.45,4.97,-218.75,-106.0,-427.25
1,2022-01-11 01:26:14.996147,25.8,60.4,997.0,151.0,1.45,-0.82,3.79,4.2,-2.8,4.97,-231.75,-110.5,-414.5
2,2022-01-11 01:26:15.058644,25.8,60.4,997.0,158.0,1.45,-0.82,3.79,4.2,-2.8,4.97,-226.5,-109.5,-421.63
3,2022-01-11 01:26:15.121148,25.9,58.9,997.0,159.0,1.45,-0.82,3.79,3.85,-2.31,4.83,-218.75,-107.5,-426.25
4,2022-01-11 01:26:15.183654,25.9,58.9,997.0,159.0,1.45,-0.83,3.77,6.16,-6.58,4.62,-218.75,-102.5,-417.5
5,2022-01-11 01:26:15.246163,25.9,59.1,997.0,159.0,1.48,-0.81,3.83,16.31,-20.09,5.46,-222.75,-107.25,-416.0
6,2022-01-11 01:26:15.293034,25.9,59.1,997.0,156.0,1.48,-0.81,3.83,16.31,-20.09,5.46,-213.75,-99.5,-408.75
7,2022-01-11 01:26:15.339914,25.9,59.1,997.0,155.0,1.46,-0.82,3.8,0.7,4.41,5.46,-222.5,-102.0,-423.38
8,2022-01-11 01:26:15.402417,25.7,59.0,997.0,156.0,1.47,-0.81,3.8,6.93,-7.28,4.83,-228.5,-108.5,-435.13
9,2022-01-11 01:26:15.464933,25.7,59.0,997.0,158.0,1.47,-0.81,3.81,6.72,-13.79,3.08,-220.25,-102.25,-424.5
10,2022-01-11 01:26:15.511799,25.8,58.9,997.0,156.0,1.47,-0.81,3.81,6.72,-13.79,3.08,-228.0,-101.25,-410.88
11,2022-01-11 01:26:15.589929,25.8,58.9,997.0,159.0,1.48,-0.82,3.8,3.85,-12.74,1.68,-227.0,-104.75,-415.75
12,2022-01-11 01:26:15.652433,25.8,58.9,997.0,161.0,1.49,-0.81,3.81,3.43,-1.82,4.48,-222.0,-107.25,-413.0
13,2022-01-11 01:26:15.714957,25.8,58.9,997.0,161.0,1.46,-0.82,3.78,-2.52,16.38,7.21,-219.25,-102.0,-413.38
14,2022-01-11 01:26:15.746208,25.8,58.9,997.0,165.0,1.46,-0.82,3.78,-2.52,16.38,7.21,-218.0,-107.25,-426.75
15,2022-01-11 01:26:15.808879,25.8,59.0,997.0,20.0,1.47,-0.82,3.8,3.15,-0.07,4.97,-225.25,-106.0,-406.5
16,2022-01-11 01:26:15.871214,25.8,59.0,997.0,165.0,1.46,-0.82,3.8,3.43,-2.31,4.62,-229.75,-107.5,-429.63
17,2022-01-11 01:26:15.933717,25.8,58.7,997.0,220.0,1.47,-0.82,3.8,3.36,-2.17,4.27,-225.5,-107.5,-418.88
18,2022-01-11 01:26:16.011848,25.8,58.7,997.0,255.0,1.47,-0.82,3.8,3.36,-2.17,4.27,-233.75,-97.75,-420.25
19,2022-01-11 01:26:16.058719,25.7,58.7,997.0,268.0,1.46,-0.82,3.8,3.15,-1.61,4.34,-228.0,-103.5,-402.88
20,2022-01-11 01:26:16.121209,25.7,58.5,997.0,225.0,1.46,-0.82,3.8,4.13,-1.75,4.69,-226.25,-102.5,-415.75
21,2022-01-11 01:26:16.168089,25.7,58.5,997.0,8190.0,1.46,-0.82,3.8,4.13,-1.75,4.69,-228.5,-104.5,-399.25
22,2022-01-11 01:26:16.214967,25.8,58.8,997.0,8190.0,1.46,-0.82,3.8,5.04,-2.31,5.04,-228.25,-103.25,-410.63
23,2022-01-11 01:26:16.277472,25.8,58.8,997.0,152.0,1.46,-0.82,3.8,5.39,-3.08,4.97,-224.0,-103.5,-416.38
24,2022-01-11 01:26:16.339986,25.8,58.9,997.0,8190.0,1.47,-0.81,3.8,4.27,-2.87,4.13,-219.25,-106.25,-408.25
25,2022-01-11 01:26:16.402478,25.8,58.9,997.0,20.0,1.47,-0.81,3.8,4.27,-2.87,4.13,-228.5,-105.75,-425.0
26,2022-01-11 01:26:16.464999,25.8,58.9,997.0,101.0,1.46,-0.82,3.8,4.55,-2.1,5.04,-220.5,-105.25,-402.13
27,2022-01-11 01:26:16.527503,25.9,58.8,997.0,146.0,1.46,-0.81,3.8,4.62,-2.45,5.18,-222.5,-97.25,-421.0
28,2022-01-11 01:26:16.590002,25.9,58.8,997.0,20.0,1.46,-0.82,3.8,3.78,-2.03,5.04,-222.75,-102.75,-402.13
29,2022-01-11 01:26:16.636885,25.8,59.0,997.0,139.0,1.46,-0.82,3.8,3.78,-2.03,5.04,-224.25,-103.5,-421.38
30,2022-01-11 01:26:16.699371,25.8,59.0,997.0,20.0,1.46,-0.82,3.8,3.15,-1.68,3.57,-225.0,-101.25,-410.0
31,2022-01-11 01:26:16.763371,25.8,58.9,997.0,139.0,1.46,-0.82,3.8,3.43,-0.35,3.15,-219.75,-104.5,-430.88
32,2022-01-11 01:26:16.825885,25.8,58.9,997.0,112.0,1.46,-0.82,3.81,4.62,-0.77,4.41,-220.5,-104.5,-423.88
33,2022-01-11 01:26:16.872768,25.8,58.9,997.0,20.0,1.46,-0.82,3.81,4.62,-0.77,4.41,-225.5,-101.5,-417.13
34,2022-01-11 01:26:16.935254,25.9,59.2,997.0,20.0,1.46,-0.82,3.8,3.78,-2.59,4.76,-224.75,-98.25,-405.25
35,2022-01-11 01:26:16.998330,25.9,59.2,997.0,147.0,1.46,-0.82,3.8,3.29,-3.57,5.6,-224.5,-100.5,-407.75
36,2022-01-11 01:26:17.044638,25.8,58.9,997.0,8190.0,1.46,-0.82,3.8,3.43,-2.59,4.76,-219.25,-100.0,-417.63
37,2022-01-11 01:26:17.107143,25.8,58.9,997.0,8190.0,1.46,-0.82,3.8,3.43,-2.59,4.76,-222.5,-100.25,-407.75
38,2022-01-11 01:26:17.169649,25.8,58.9,997.0,8190.0,1.46,-0.82,3.8,4.13,-2.38,4.83,-224.0,-104.5,-419.25
39,2022-01-11 01:26:17.247775,25.8,59.5,997.0,117.0,1.45,-0.82,3.8,3.5,-2.8,5.46,-229.0,-98.0,-414.38
40,2022-01-11 01:26:17.294655,25.8,59.5,997.0,141.0,1.46,-0.82,3.8,3.85,-2.52,4.83,-226.25,-105.75,-417.88
41,2022-01-11 01:26:17.341548,25.7,58.9,997.0,143.0,1.46,-0.82,3.8,3.85,-2.52,4.83,-225.0,-105.0,-415.0
42,2022-01-11 01:26:17.404262,25.7,58.9,997.0,20.0,1.45,-0.82,3.8,3.01,-2.17,4.76,-216.25,-102.0,-415.25
43,2022-01-11 01:26:17.466553,25.8,58.8,997.0,20.0,1.46,-0.82,3.8,3.71,-2.03,4.69,-224.75,-110.0,-411.25
44,2022-01-11 01:26:17.513643,25.8,58.8,997.0,129.0,1.45,-0.82,3.8,3.01,-2.24,4.76,-219.0,-106.25,-421.75
45,2022-01-11 01:26:17.575920,25.8,58.8,997.0,20.0,1.45,-0.82,3.8,3.01,-2.24,4.76,-226.25,-105.25,-423.0
46,2022-01-11 01:26:17.638425,25.8,58.7,997.0,123.0,1.46,-0.82,3.8,3.29,-1.47,5.39,-230.75,-105.25,-415.5
47,2022-01-11 01:26:17.700931,25.8,58.7,997.0,20.0,1.45,-0.83,3.79,0.63,-0.35,3.99,-224.0,-106.0,-421.63
48,2022-01-11 01:26:17.763432,25.8,58.8,997.0,20.0,1.45,-0.83,3.8,1.68,-0.28,5.39,-225.5,-106.0,-408.88
49,2022-01-11 01:26:17.825953,25.8,58.8,997.0,124.0,1.45,-0.83,3.8,1.68,-0.28,5.39,-223.25,-104.25,-413.38
50,2022-01-11 01:26:17.888440,25.9,58.8,997.0,20.0,1.45,-0.83,3.8,1.96,-0.7,6.23,-227.0,-109.5,-407.25
