,Microphone
0,-9116
1,-4428
2,-8916
3,-15692
4,-20468
5,-25732
6,-24012
7,-18108
8,-9836
9,-5060
10,-7524
11,-12700
12,-16100
13,-18060
14,-19284
15,-15412
16,-9364
17,-5756
18,-11468
19,-15692
20,-12844
21,-14396
22,-13124
23,-12964
24,-12276
25,-5908
26,-6508
27,-7556
28,-12092
29,-18804
30,-19372
31,-22228
32,-21316
33,-17076
34,-13668
35,-12404
36,-15036
37,-14044
38,-11940
39,-10204
40,-10124
41,-11308
42,-12636
43,-16500
44,-19324
45,-15916
46,-9284
47,-9708
48,-9644
49,-7828
50,-11852
51,-10964
52,-12300
53,-13548
54,-12564
55,-17540
56,-18116
57,-16268
58,-13788
59,-5316
60,-6284
61,-10420
62,-16172
63,-23180
64,-23996
65,-20404
66,-12412
67,-5132
68,-8508
69,-13124
70,-18276
71,-21924
72,-20028
73,-17268
74,-10372
75,-2468
76,-7916
77,-14156
78,-15580
79,-16820
80,-14484
81,-13948
82,-10668
83,-6276
84,-6780
85,-5476
86,-10844
87,-15924
88,-17796
89,-21028
90,-20364
91,-16612
92,-12060
93,-9908
94,-14100
95,-16884
96,-15172
97,-13604
98,-10428
99,-8764
100,-11188
101,-12988
102,-19196
103,-18732
104,-11396
105,-11900
106,-9564
107,-8060
108,-9180
109,-8164
110,-11684
111,-11908
112,-13868
113,-17996
114,-16356
115,-19468
116,-19004
117,-11748
118,-8652
119,-7428
120,-10148
121,-16980
122,-21724
123,-22460
124,-16996
125,-9508
126,-8820
127,-10764
128,-14724
129,-18380
130,-15636
131,-17644
132,-12540
133,-3644
134,-7820
135,-11812
136,-14212
137,-14564
138,-13060
139,-15124
140,-12996
141,-11420
142,-10348
143,-5740
144,-7860
145,-11396
146,-13364
147,-16900
148,-19388
149,-19204
150,-16700
151,-14052
152,-15884
153,-15628
154,-11804
155,-12012
156,-9148
157,-9228
158,-12148
159,-11564
160,-20372
161,-21508
162,-13260
163,-12124
164,-9748
165,-9876
166,-9380
167,-8924
168,-11556
169,-9436
170,-11244
171,-13660
172,-14084
173,-18116
174,-18460
175,-14636
176,-9852
177,-6148
178,-8284
179,-14164
180,-20140
181,-24300
182,-21092
183,-11972
184,-15988
185,-12732
186,-7916
187,-7316
188,-10316
189,-8940
190,-12004
191,-16276
192,-16796
193,-17140
194,-14612
195,-15700
196,-14460
197,-7900
198,-8068
199,-7780
200,-13516
201,-22412
202,-25476
203,-25620
204,-19524
205,-9516
206,-4108
207,-5716
208,-11444
209,-19476
210,-21308
211,-19804
212,-20372
213,-12540
214,-6740
215,-6124
216,-10308
217,-15732
218,-14708
219,-14540
220,-12636
221,-8276
222,-6644
223,-3276
224,-8420
225,-14788
226,-18516
227,-24252
228,-21132
229,-21268
230,-19156
231,-11324
232,-10548
233,-11412
234,-12084
235,-14156
236,-12692
237,-11116
238,-11324
239,-10252
240,-10052
241,-16652
242,-18980
243,-15396
244,-10108
245,-9948
246,-11100
247,-8956
248,-10508
249,-10940
250,-12436
251,-15756
252,-15860
253,-20204
254,-18508
255,-11468
256,-14724
257,-18380
258,-15636
259,-17644
260,-12540
261,-3644
262,-7820
263,-11812
264,-14212
265,-14564
266,-13060
267,-15124
268,-12996
269,-11420
270,-10348
271,-5740
272,-7860
273,-11396
274,-13364
275,-16900
276,-19388
277,-19204
278,-16700
279,-14052
280,-15884
281,-15628
282,-11804
283,-12012
284,-9148
285,-9228
286,-12148
287,-11564
288,-20372
289,-21508
290,-13260
291,-12124
292,-9748
293,-9876
294,-9380
295,-8924
296,-11556
297,-9436
298,-11244
299,-13660
300,-14084
301,-18116
302,-18460
303,-14636
304,-9852
305,-6148
306,-8284
307,-14164
308,-20140
309,-24300
310,-21092
311,-11972
312,-8860
313,-8308
314,-12460
315,-18948
316,-16812
317,-21188
318,-17836
319,-6076
320,-4148
321,-5980
322,-11284
323,-13500
324,-14892
325,-17892
326,-14364
327,-14348
328,-11916
329,-6076
330,-6476
331,-8940
332,-13636
333,-19036
334,-20844
335,-19188
336,-14956
337,-9828
338,-11748
339,-14788
340,-13996
341,-14780
342,-12812
343,-11980
344,-12828
345,-8300
346,-14316
347,-19612
348,-17740
349,-16428
350,-12996
351,-12588
352,-8884
353,-9396
354,-12940
355,-10268
356,-11084
357,-11628
358,-12492
359,-17292
360,-20980
361,-21244
362,-15348
363,-8804
364,-5844
365,-8628
366,-14316
367,-22644
368,-25084
369,-18684
370,-14308
371,-8892
372,-9828
373,-13244
374,-12316
375,-19876
376,-20844
377,-13380
378,-7524
379,-4948
380,-9860
381,-9484
382,-12892
383,-17316
384,-14876
385,-15900
386,-14236
387,-9972
388,-7852
389,-6460
390,-8908
391,-14380
392,-18076
393,-20908
394,-20228
395,-14596
396,-14292
397,-16228
398,-16388
399,-16348
400,-13188
401,-12948
402,-10716
403,-7012
404,-11948
405,-16580
406,-18700
407,-15908
408,-13244
409,-14548
410,-9404
411,-9156
412,-12052
413,-11068
414,-12228
415,-11500
416,-10924
417,-12852
418,-15252
419,-16964
420,-15260
421,-9988
422,-8740
423,-9796
