,Timestamps,Temperature,Humidity,Pressure,Distance,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magnox,Magnoy,Magnoz
0,2022-01-11 01:30:01.987661,26.3,59.4,997.0,146.0,1.88,0.33,3.66,4.48,-3.01,4.83,-280.25,16.75,-385.63
1,2022-01-11 01:30:02.034544,26.3,59.4,997.0,124.0,1.88,0.34,3.66,4.13,-3.01,4.76,-285.5,14.25,-396.5
2,2022-01-11 01:30:02.097053,26.3,59.4,997.0,124.0,1.88,0.33,3.66,4.2,-3.22,4.69,-282.5,17.0,-381.63
3,2022-01-11 01:30:02.144009,26.4,59.6,997.0,123.0,1.88,0.34,3.66,4.2,-3.08,4.76,-283.5,16.5,-403.63
4,2022-01-11 01:30:02.206525,26.4,59.6,997.0,126.0,1.88,0.34,3.66,4.2,-3.08,4.76,-289.5,11.75,-383.13
5,2022-01-11 01:30:02.269015,26.3,59.4,997.0,125.0,1.88,0.33,3.66,4.2,-3.01,4.69,-282.0,17.0,-381.75
6,2022-01-11 01:30:02.331536,26.3,59.4,997.0,123.0,1.88,0.34,3.66,4.55,-3.08,4.69,-286.75,15.75,-390.5
7,2022-01-11 01:30:02.378415,26.4,59.4,997.0,123.0,1.88,0.33,3.67,4.55,-2.94,4.69,-285.0,15.25,-387.0
8,2022-01-11 01:30:02.440918,26.4,59.4,997.0,124.0,1.88,0.33,3.67,4.55,-2.94,4.69,-277.75,7.0,-395.5
9,2022-01-11 01:30:02.503411,26.4,59.4,997.0,124.0,1.88,0.33,3.67,4.48,-2.73,4.55,-282.75,16.25,-382.13
10,2022-01-11 01:30:02.565928,26.4,59.3,997.0,126.0,1.88,0.34,3.68,4.69,-2.52,4.55,-280.0,17.0,-390.38
11,2022-01-11 01:30:02.628654,26.4,59.3,997.0,123.0,1.88,0.34,3.68,4.48,-2.59,4.62,-279.75,15.0,-375.0
12,2022-01-11 01:30:02.690934,26.3,59.3,997.0,126.0,1.88,0.34,3.68,4.48,-2.59,4.62,-286.0,16.5,-396.75
13,2022-01-11 01:30:02.753664,26.3,59.3,997.0,124.0,1.88,0.34,3.68,4.55,-2.45,4.76,-287.25,8.25,-391.38
14,2022-01-11 01:30:02.784689,26.3,59.3,997.0,123.0,1.88,0.34,3.68,4.55,-2.31,4.83,-281.0,19.5,-391.88
15,2022-01-11 01:30:02.847192,26.3,58.6,997.0,123.0,1.88,0.34,3.68,4.48,-2.38,4.76,-285.75,14.25,-377.75
