,Microphone
0,-14260
1,-15748
2,-15916
3,-15740
4,-15820
5,-15364
6,-14972
7,-14908
8,-14740
9,-14332
10,-15740
11,-16220
12,-16548
13,-16540
14,-15732
15,-14508
16,-14108
17,-13884
18,-14628
19,-15588
20,-16588
21,-16148
22,-16060
23,-16164
24,-16268
25,-15916
26,-15196
27,-14588
28,-15180
29,-15676
30,-16452
31,-16532
32,-16412
33,-15932
34,-15780
35,-15140
36,-15652
37,-15700
38,-16732
39,-16820
40,-17308
41,-16692
42,-15708
43,-15540
44,-15220
45,-14716
46,-15100
47,-15612
48,-16396
49,-16876
50,-16868
51,-16684
52,-16604
53,-16868
54,-16932
55,-16828
56,-16612
57,-17380
58,-16636
59,-16444
60,-16524
61,-16900
62,-16788
63,-17260
64,-17356
65,-16572
66,-15948
67,-16532
68,-16956
69,-17436
70,-17492
71,-16772
72,-16700
73,-15772
74,-15260
75,-14868
76,-15732
77,-16244
78,-16340
79,-16636
80,-16188
81,-16020
82,-15764
83,-15900
84,-15876
85,-16292
86,-16164
87,-16412
88,-15540
89,-15580
90,-15788
91,-15772
92,-15476
93,-15316
94,-15372
95,-15524
96,-15820
97,-16316
98,-16244
99,-16596
100,-15844
101,-15948
102,-15308
103,-15164
104,-14636
105,-14132
106,-14796
107,-15364
108,-15260
109,-15628
110,-15980
111,-15260
112,-15012
113,-15012
114,-15204
115,-15724
116,-15724
117,-15604
118,-15588
119,-15468
120,-14948
121,-15356
122,-14652
123,-14212
124,-13804
125,-14036
126,-14492
127,-14980
128,-15108
129,-14140
130,-14196
131,-13996
132,-13804
133,-14284
134,-14668
135,-14516
136,-15212
137,-15420
138,-15156
139,-14868
140,-15540
141,-15068
142,-14956
143,-14588
144,-14132
145,-15020
146,-15012
147,-14716
148,-14476
149,-13396
150,-13636
151,-13276
152,-13428
153,-13772
154,-13388
155,-13668
156,-14076
157,-13748
158,-13692
159,-13492
160,-13508
161,-13468
162,-12860
163,-13492
164,-13868
165,-14612
166,-14284
167,-14180
168,-13644
169,-14188
170,-14028
171,-14388
172,-14660
173,-14588
174,-14580
175,-14164
176,-13684
177,-13780
178,-14916
179,-15012
180,-15284
181,-14956
182,-15060
183,-14908
184,-14652
185,-14764
186,-15012
187,-14884
188,-14356
189,-14756
190,-14876
191,-14396
192,-13908
193,-13284
194,-14548
195,-15900
196,-16356
197,-16028
198,-15772
199,-15620
200,-15172
201,-15716
202,-15964
203,-15996
204,-16036
205,-15492
206,-15396
207,-15356
208,-15508
209,-16028
210,-16404
211,-16140
212,-15692
213,-14564
214,-15316
215,-16260
216,-16188
217,-16764
218,-17412
219,-17092
220,-15940
221,-14788
222,-14428
223,-15124
224,-15996
225,-15836
226,-16508
227,-16644
228,-16356
229,-16116
230,-15852
231,-15956
232,-16372
233,-16492
234,-16188
235,-15348
236,-15620
237,-15996
238,-16324
239,-16084
240,-16044
241,-15668
242,-15132
243,-14876
244,-15620
245,-15252
246,-15100
247,-15212
248,-14820
249,-14556
250,-14452
251,-14932
252,-14988
253,-15292
254,-15740
255,-15660
256,-15780
257,-16068
258,-16364
259,-16028
260,-15828
261,-15348
262,-15652
263,-15692
264,-15844
265,-15084
266,-14884
267,-15188
268,-15404
269,-15284
270,-15084
271,-14948
272,-14804
273,-15084
274,-15076
275,-14420
276,-14804
277,-14732
278,-14500
279,-14988
280,-15460
281,-14916
282,-15444
283,-15348
284,-15508
285,-15844
286,-15372
287,-15404
288,-15252
289,-14700
290,-14276
291,-14340
292,-14476
293,-14292
294,-13996
295,-13812
296,-13884
297,-13948
298,-14284
299,-14508
300,-14708
301,-14564
302,-14612
303,-14596
304,-14708
305,-14732
306,-14588
307,-14556
308,-13956
309,-14068
310,-14428
311,-14684
312,-15252
313,-15308
314,-15020
315,-15204
316,-14748
317,-15036
318,-14516
319,-14044
320,-13988
321,-14116
322,-14052
323,-13588
324,-13100
325,-13068
326,-13356
327,-13892
328,-13932
329,-13996
330,-13564
331,-13892
332,-13988
333,-15156
334,-14684
335,-15132
336,-14988
337,-14356
338,-13796
339,-13740
340,-13916
341,-14260
342,-14444
343,-14196
344,-14964
345,-15508
346,-14988
347,-14932
348,-14780
349,-14524
350,-14892
351,-14420
352,-14620
353,-14548
354,-13932
355,-14076
356,-14164
357,-14412
358,-14620
359,-14676
360,-14924
361,-15660
362,-16060
363,-15556
364,-15428
365,-15548
366,-15324
367,-15508
368,-15444
369,-15796
370,-15748
371,-15356
372,-15564
373,-16108
374,-16244
375,-16196
376,-15932
377,-15548
378,-15660
379,-15412
380,-15420
381,-15940
382,-15772
383,-15732
384,-15396
385,-15044
386,-15092
387,-15916
388,-16268
389,-15932
390,-16028
391,-15716
392,-15084
393,-14820
394,-15548
395,-16436
396,-15876
397,-15268
398,-14612
399,-14324
400,-14436
401,-15276
402,-16060
403,-16204
404,-16156
405,-16036
406,-14796
407,-14436
408,-14652
409,-15180
410,-15332
411,-14916
412,-14604
413,-14308
414,-14612
415,-15508
416,-15044
417,-14660
418,-15012
419,-15604
420,-15476
421,-15636
422,-15964
423,-15804
424,-15876
425,-15484
426,-15052
427,-15156
428,-14916
429,-14652
430,-14988
431,-15140
432,-15436
433,-15388
434,-15564
435,-15196
436,-14828
437,-14396
438,-14284
439,-14788
440,-14348
441,-14444
442,-14324
443,-14220
444,-14348
445,-14628
446,-15364
447,-15404
448,-14964
449,-15132
450,-15284
451,-15332
452,-15564
453,-15084
454,-15204
455,-14852
456,-15212
457,-14804
458,-14876
459,-15284
460,-15364
461,-15492
462,-15652
463,-15076
464,-15180
465,-14940
466,-14668
467,-14900
468,-14396
469,-14436
470,-14196
471,-13860
472,-13780
473,-13396
474,-13540
475,-13764
476,-14020
477,-14876
478,-14556
479,-14420
480,-14940
481,-15116
482,-15060
483,-15332
484,-15108
485,-14476
486,-14268
487,-14356
488,-14476
489,-15012
490,-15948
491,-15764
492,-15692
493,-15796
494,-15508
495,-15148
496,-14396
497,-14244
498,-14476
499,-14596
500,-14308
501,-13996
502,-13692
503,-13764
504,-14068
505,-13964
506,-14460
507,-14452
508,-14820
509,-14764
510,-15364
511,-15036
512,-15212
513,-15540
514,-15524
515,-15044
516,-14860
517,-14492
518,-14196
519,-14612
520,-14996
521,-15364
522,-16012
523,-15644
524,-15172
525,-14748
526,-14172
527,-14308
528,-14180
529,-14932
530,-15004
531,-15412
532,-15620
533,-15764
534,-16204
535,-16028
536,-16340
537,-16292
538,-16644
539,-16724
540,-16964
541,-16500
542,-16380
543,-15788
544,-15668
545,-14868
546,-14628
547,-14724
548,-15508
549,-15628
550,-15932
551,-15660
552,-15612
553,-15868
554,-15556
555,-15252
556,-15028
557,-15324
558,-16260
559,-15324
560,-15620
561,-15516
562,-15660
563,-15996
564,-15204
565,-15668
566,-15564
567,-15980
568,-16052
569,-15860
570,-15804
571,-15452
572,-15372
573,-15268
574,-14956
575,-14812
576,-14716
577,-14684
578,-15220
579,-16012
580,-15924
581,-15908
582,-15996
583,-15604
584,-15484
585,-15716
586,-14868
587,-14228
588,-14612
589,-14908
590,-14628
591,-14724
592,-15140
593,-15380
594,-14972
595,-15204
596,-15268
597,-15132
598,-15132
599,-15572
600,-15060
601,-15124
602,-15004
603,-15076
604,-14588
605,-14380
606,-14396
607,-14988
608,-15228
609,-15524
610,-14876
611,-15052
612,-15116
613,-15220
614,-14972
615,-14708
616,-14132
617,-14404
618,-14172
619,-14572
620,-14652
621,-15092
622,-15116
623,-15212
624,-15580
625,-15660
626,-16484
627,-16732
628,-16468
629,-16300
630,-15708
631,-15972
632,-15036
633,-15324
634,-15108
635,-15292
636,-15596
637,-15580
638,-15076
639,-15260
640,-15124
641,-15116
642,-15044
643,-15052
644,-15188
645,-15388
646,-15172
647,-15548
648,-15468
649,-14940
650,-15116
651,-15516
652,-16612
653,-16516
654,-16116
655,-15460
656,-15356
657,-15660
658,-15740
659,-15820
660,-15636
661,-15076
662,-15044
663,-15220
664,-15764
665,-16132
666,-16356
667,-16860
668,-16732
669,-16708
670,-16876
671,-16572
672,-16212
673,-15588
674,-15652
675,-15660
676,-15316
677,-15388
678,-15580
679,-15044
680,-15588
681,-15716
682,-16348
683,-16564
684,-16476
685,-15540
686,-15476
687,-15412
688,-15148
689,-15292
690,-15892
691,-15812
692,-15652
693,-14580
694,-14340
695,-14868
696,-16012
697,-16676
698,-16748
699,-16364
700,-15932
701,-16676
702,-16244
703,-16124
704,-15796
705,-15540
706,-15732
707,-16236
708,-16436
709,-16396
710,-15884
711,-15604
712,-15780
713,-15700
714,-15852
715,-16388
716,-15916
717,-15972
718,-16028
719,-15556
720,-14964
721,-14412
722,-14428
723,-14852
724,-15028
725,-14940
726,-15356
727,-15332
728,-15572
729,-15900
730,-16220
731,-15868
732,-16092
733,-15284
734,-15220
735,-15180
736,-15884
737,-15932
738,-15356
739,-14852
740,-14260
741,-14332
742,-14588
743,-14828
744,-15644
745,-15700
746,-15612
747,-15140
748,-14164
749,-13708
750,-13740
751,-14612
752,-14972
753,-14900
754,-14740
755,-14372
756,-14452
757,-14484
758,-14772
759,-14436
760,-14412
761,-14804
762,-15092
763,-15132
764,-14428
765,-13876
766,-13468
767,-14420
768,-14772
769,-15388
770,-15460
771,-15228
772,-15484
773,-15972
774,-16284
775,-16236
776,-15780
777,-15452
778,-15908
779,-16076
780,-15700
781,-14940
782,-14724
783,-14636
784,-14708
785,-14724
786,-15164
787,-14836
788,-15388
789,-15540
790,-15700
791,-14908
792,-14244
793,-14028
794,-14700
795,-15308
796,-14932
797,-13980
798,-14396
799,-14604
800,-15084
801,-15508
802,-15908
803,-15988
804,-16404
805,-16460
806,-16324
807,-15532
808,-15772
809,-15164
810,-14756
811,-14812
812,-14468
813,-14516
814,-14508
815,-14836
816,-15244
817,-15644
818,-16020
819,-15996
820,-15868
821,-15644
822,-16324
823,-16460
824,-16260
825,-15548
826,-14684
827,-14724
828,-14884
829,-14820
830,-14788
831,-14956
832,-15516
833,-15932
834,-16132
835,-15644
836,-15148
837,-14572
838,-14548
839,-14956
840,-14732
841,-14980
842,-14932
843,-15268
844,-15292
845,-15476
846,-15948
847,-16628
848,-16876
849,-17220
850,-16684
851,-16004
852,-16108
853,-16172
854,-16244
855,-16556
856,-16548
857,-15940
858,-15060
859,-14924
860,-15604
861,-16044
862,-16196
863,-15916
864,-15412
865,-15212
866,-15156
867,-15132
868,-15652
869,-15348
870,-14844
871,-14596
872,-14660
873,-15620
874,-15900
875,-16156
876,-16132
877,-15996
878,-16124
879,-16236
880,-16036
881,-15548
882,-16140
883,-16484
884,-16148
885,-15588
886,-14860
887,-14404
888,-14564
889,-15060
890,-15452
891,-15220
892,-15508
893,-15300
894,-15044
895,-15420
896,-15204
897,-14804
898,-14756
899,-14908
900,-15460
901,-15756
902,-15284
903,-14972
904,-14524
905,-14748
906,-14668
907,-13948
908,-13996
909,-14156
910,-14628
911,-14332
912,-14180
913,-13860
914,-14276
915,-14420
916,-14324
917,-14676
918,-14980
919,-14836
920,-14484
921,-15244
922,-15724
923,-15940
924,-14660
925,-14060
926,-14156
927,-14428
928,-13932
929,-14044
930,-13580
931,-13372
932,-13276
933,-13468
934,-13708
935,-13644
936,-13556
937,-13684
938,-14564
939,-15284
940,-15132
941,-14676
942,-14748
943,-14804
944,-15036
945,-15436
946,-15308
947,-15180
948,-15556
949,-15340
950,-15084
951,-15092
952,-15004
953,-15356
954,-15260
955,-14716
956,-14484
957,-13700
958,-13780
959,-14380
960,-14212
961,-15204
962,-15540
963,-15532
964,-15356
965,-15220
966,-15036
967,-15540
968,-15780
969,-15276
970,-15668
971,-15940
972,-15252
973,-14508
974,-14132
975,-14388
976,-14740
977,-14892
978,-15044
979,-15108
980,-14940
981,-15540
982,-15876
983,-15372
984,-14940
985,-14548
986,-14900
987,-15284
988,-15324
989,-15284
990,-15524
991,-15412
992,-16148
993,-15636
994,-15556
995,-15588
996,-15084
997,-14924
998,-15700
999,-16268
1000,-16228
1001,-14988
1002,-14308
1003,-14484
1004,-15444
1005,-15436
1006,-14860
1007,-14356
1008,-15180
1009,-15804
1010,-16180
1011,-15964
1012,-15284
1013,-15596
1014,-15756
1015,-16308
1016,-15884
1017,-15740
1018,-15436
1019,-15572
1020,-16188
1021,-16076
1022,-15724
1023,-15668
1024,-15644
1025,-15660
1026,-15772
1027,-16364
1028,-15900
1029,-15588
1030,-15148
1031,-15572
1032,-16180
1033,-16076
1034,-16004
1035,-15916
1036,-15484
1037,-15636
1038,-15572
1039,-15988
1040,-15340
1041,-15652
1042,-16156
1043,-15876
1044,-15180
1045,-14236
1046,-13956
1047,-15540
1048,-16076
1049,-16108
1050,-15436
1051,-14932
1052,-14596
1053,-15228
1054,-15556
1055,-15068
1056,-14884
1057,-14372
1058,-14404
1059,-15076
1060,-15068
1061,-15244
1062,-14788
1063,-14588
1064,-15308
1065,-16068
1066,-15884
1067,-16084
1068,-15652
1069,-15852
1070,-15772
1071,-15260
1072,-15084
1073,-15548
1074,-15132
1075,-14748
1076,-14196
1077,-13956
1078,-14292
1079,-14628
1080,-15364
1081,-15644
1082,-15620
1083,-15012
1084,-13788
1085,-13924
1086,-14300
1087,-14844
1088,-15188
1089,-15508
1090,-15204
1091,-15276
1092,-15276
1093,-15508
1094,-15548
1095,-15516
1096,-15292
1097,-15276
1098,-15876
1099,-14980
1100,-14116
1101,-13556
1102,-13844
1103,-13996
1104,-14252
1105,-14180
1106,-13964
1107,-13892
1108,-14260
1109,-14116
1110,-13868
1111,-13924
1112,-13604
1113,-13908
1114,-14900
1115,-14420
1116,-14116
1117,-13444
1118,-13388
1119,-14044
1120,-14524
1121,-14548
1122,-14372
1123,-14284
1124,-14628
1125,-15404
1126,-15028
1127,-14732
1128,-14276
1129,-14116
1130,-13780
1131,-13612
1132,-13876
1133,-13716
1134,-14044
1135,-14332
1136,-14412
1137,-14012
1138,-13476
1139,-13428
1140,-13684
1141,-13860
1142,-14212
1143,-14676
1144,-14084
1145,-13972
1146,-14060
1147,-14612
1148,-14852
1149,-14740
1150,-13892
1151,-13372
1152,-14236
1153,-15036
1154,-15444
1155,-14564
1156,-13596
1157,-14020
1158,-14004
1159,-14244
1160,-13772
1161,-13308
1162,-13700
1163,-13996
1164,-14492
1165,-14516
1166,-14340
1167,-13844
1168,-13948
1169,-14548
1170,-15764
1171,-16116
1172,-15460
1173,-15476
1174,-15468
1175,-15372
1176,-15876
1177,-16052
1178,-15980
1179,-16052
1180,-16444
1181,-17244
1182,-17004
1183,-16660
1184,-16092
1185,-16340
1186,-16324
1187,-15884
1188,-15764
1189,-15492
1190,-14860
1191,-15484
1192,-15340
1193,-15036
1194,-14564
1195,-14164
1196,-14532
1197,-15844
1198,-16396
1199,-17012
1200,-16388
1201,-16076
1202,-15940
1203,-16164
1204,-16572
1205,-17004
1206,-16796
1207,-17540
1208,-16620
1209,-16228
1210,-16644
1211,-16004
1212,-16324
1213,-16660
1214,-16468
1215,-16492
1216,-15820
1217,-15900
1218,-15348
1219,-15012
1220,-15004
1221,-15012
1222,-14916
1223,-15372
1224,-15324
1225,-15420
1226,-15684
1227,-15620
1228,-15764
1229,-15884
1230,-16556
1231,-16756
1232,-16228
1233,-15916
1234,-15684
1235,-15724
1236,-15244
1237,-15036
1238,-15244
1239,-14492
1240,-14372
1241,-14724
1242,-14996
1243,-14692
1244,-14604
1245,-14708
1246,-14940
1247,-14740
1248,-14292
1249,-14316
1250,-14204
1251,-14540
1252,-14932
1253,-15036
1254,-14356
1255,-13956
1256,-14076
1257,-15148
1258,-15324
1259,-15500
1260,-15388
1261,-14740
1262,-14668
1263,-14700
1264,-14508
1265,-14260
1266,-14044
1267,-14412
1268,-14444
1269,-14196
1270,-14036
1271,-14028
1272,-13900
1273,-14116
1274,-14492
1275,-13748
1276,-13716
1277,-13612
1278,-13028
1279,-13068
1280,-13740
1281,-13220
1282,-13356
1283,-13300
1284,-13548
1285,-13524
1286,-13964
1287,-14228
1288,-14644
1289,-14668
1290,-14364
1291,-14524
1292,-14796
